onset	duration	finger
1.500	4.000	D4
9.600	4.000	D3
17.900	4.000	D2
26.600	4.000	D1
34.700	4.000	D4
43.400	4.000	D3
51.700	4.000	D2
60.700	4.000	D1
68.800	4.000	D3
77.400	4.000	D1
86.000	4.000	D3
94.000	4.000	D2
102.300	4.000	D4
111.400	4.000	D2
119.600	4.000	D4
129.800	4.000	D2
138.000	4.000	D3
146.100	4.000	D1
154.900	4.000	D2
163.500	4.000	D3
171.600	4.000	D1
181.200	4.000	D2
189.400	4.000	D4
197.600	4.000	D1
206.500	4.000	D4
214.600	4.000	D2
222.900	4.000	D1
231.800	4.000	D4
240.700	4.000	D1
250.000	4.000	D4
259.300	4.000	D1
269.800	4.000	D4
278.500	4.000	D3
288.400	4.000	D4
296.400	4.000	D3
305.500	4.000	D2
313.800	4.000	D3
322.000	4.000	D4
330.000	4.000	D1
338.100	4.000	D2
352.200	4.000	D3
360.200	4.000	D1
369.000	4.000	D4
378.600	4.000	D3
386.800	4.000	D2
396.200	4.000	D1
406.200	4.000	D4
414.600	4.000	D2
423.200	4.000	D3
435.300	4.000	D2
444.100	4.000	D4
452.300	4.000	D3
460.400	4.000	D1
469.700	4.000	D4
478.600	4.000	D3
487.100	4.000	D1
495.100	4.000	D4
503.200	4.000	D2
511.700	4.000	D4
519.900	4.000	D3
529.700	4.000	D1
537.700	4.000	D2
546.200	4.000	D3
556.200	4.000	D1
565.000	4.000	D3
575.100	4.000	D4
585.100	4.000	D2
593.400	4.000	D1
602.300	4.000	D4
610.600	4.000	D1
619.300	4.000	D3
628.100	4.000	D2
636.200	4.000	D4
645.100	4.000	D1
653.200	4.000	D3
661.800	4.000	D2
670.700	4.000	D1
680.700	4.000	D3
689.000	4.000	D2
697.700	4.000	D1
707.500	4.000	D2
715.700	4.000	D4
724.800	4.000	D3
733.600	4.000	D4
741.600	4.000	D3
749.600	4.000	D1
758.000	4.000	D2
768.800	4.000	D3
777.300	4.000	D1
785.500	4.000	D2
793.700	4.000	D3
801.700	4.000	D2
809.800	4.000	D1
821.600	4.000	D2
833.300	4.000	D1
841.300	4.000	D2
852.300	4.000	D4
863.500	4.000	D2
871.900	4.000	D4
880.200	4.000	D3
888.200	4.000	D4
896.700	4.000	D3
905.300	4.000	D1
914.200	4.000	D3
922.200	4.000	D2
930.500	4.000	D4
940.100	4.000	D1
948.200	4.000	D4
